ID,Father,Mother
X,93,58
X,93,58
X,93,58
X,93,58
X,93,58
X,93,58
X,93,58
X,93,58
X,93,58
X,93,58
X,93,58
X,93,58
X,93,58
X,93,58
X,93,58
X,93,58
X,93,58
X,93,58
135,93,58
147,93,58
X,135,147
X,135,147
152,93,58
182,152,58
X,152,58
X,152,58
X,152,58
X,152,58
X,152,58
X,152,58
192,175,182
58,93,99
X,93,99
X,93,99
X,93,99
X,93,99
X,93,99
X,93,99
X,93,99
X,93,99
X,93,99
70,93,99
62,93,99
X,70,67
X,70,67
X,70,67
X,70,67
X,70,67
X,70,67
X,70,67
X,70,67
X,70,67
X,70,67
X,70,67
X,70,67
X,70,67
X,70,67
X,70,67
X,61,55
X,61,55
X,61,55
X,61,55
X,61,55
X,61,55
X,61,102
X,61,102
X,61,102
X,61,102
X,61,102
X,61,102
102,93,99
160,70,67
175,138,67
X,138,67
X,138,67
X,138,67
138,62,102
75,62,102
X,62,102
X,62,102
X,62,102
X,62,102
X,62,102
X,62,102
X,62,102
X,62,102
X,62,102
X,62,75
193,183,160
183,138,160
188,138,160
189,138,160
190,138,160
149,138,160
X,138,160
X,138,160
