ID,Father,Mother
1,Jon,Trude 
2,Priyank,Waltraut
3,Priyank,Waltraut
4,Priyank,Waltraut
5,¯rjan,Birgit 
6,Frode,Birgit 
7,Frode,Blondi 
8,Frode,Blondi 
9,Frode,Blondi 
10,Gr¿nn,Randi
11,Gr¿nn,Randi
12,Gr¿nn,Randi
13,Gr¿nn,Randi
14,Loran,Suzanne 
15,Loran,Suzanne 
16,Loran,Suzanne 
17,Loran,Suzanne 
18,Loran,Suzanne 
19,Loran,Suzanne 
20,J¿rn,Hanne 
21,J¿rn,Hanne 
22,J¿rn,Hanne 
23,J¿rn,Hanne 
24,J¿rn,Hanne 
25,Darwin,Malena 
26,Darwin,Malena 
27,Darwin,Laura
28,Lasse,Gyda
29,Lasse,Gyda
30,Lasse,Gyda
31,Lasse,Gyda
32,Lasse,Gyda
33,Lasse,Gyda
34,Lasse,Gyda
35,Lasse,Gyda
36,Lasse,Gyda
37,Lasse,Gyda
38,Lasse,Gyda
39,Lasse,Gyda
40,Carl ,Bj¿rk 
41,Carl ,Bj¿rk 
42,Carl ,Stina
43,Carl ,Stina
44,Carl ,Stina
45,Carl ,Stina
46,Easy,Stina
47,Bram,Sonja
48,Bram,Sonja
49,Chris,Stina
50,Rudolf,Yasmin
51,Rudolf,Yasmin
52,Jan Helge,Fr¿ydis 
53,Oddi ,Demi 
54,Homer,Kathrin 
55,Homer,Kathrin 
56,Homer,Gabi
57,¯yvind ,Asun
58,Klumpen,Ikea
59,Klumpen,Ikea
60,Klumpen,Ikea
61,Klumpen,Ikea
62,Klumpen,Ikea
63,Klumpen,Ikea
64,Klumpen,Ikea
65,Klumpen,Ikea
66,Klumpen,Ikea
67,Klumpen,Ikea
68,Klumpen,Ikea
69,Klumpen,Ikea
70,Konrad,Hazel
71,Konrad,Hazel
72,Konrad,Hazel
73,Konrad,Hazel
74,Konrad,Hazel
75,Konrad,Hazel
76,Unk1,Hazel
77,Paddy,Hazel
78,Paddy,Hazel
79,Paddy,Hazel
80,Paddy,Hazel
81,Ta_kehode ,Sofie
82,Ta_kehode ,Sofie
83,Ta_kehode ,Sofie
84,Ta_kehode ,Sofie
85,Ta_kehode ,Sofie
86,Ta_kehode ,Sofie
87,Ta_kehode ,Sofie
88,Ta_kehode ,Sofie
89,Ta_kehode ,Sofie
90,Stuart,Else Beth
91,Stuart,Else Beth
92,Stuart,Else Beth
93,Jan Marc,Hanne Synn¿ve 
94,Manuel,Live
95,Manuel,Live
96,Manuel,Live
97,Manuel,Live
98,Morten,Apple
99,Morten,Apple
100,Terje,Anne Lise
101,Terje,Anne Lise
102,Terje,Anne Lise
103,Terje,Anne Lise
104,Unk2,Anne Lise
105,Caesar,Live
106,Caesar,Live
107,Caesar,Live
108,Tommy,Olive
109,Tommy,Olive
110,Tommy,Olive
111,Tommy,Olive
112,Tommy,Olive
113,Tommy,Olive
114,Mini,Olive
115,Mini,Olive
116,Mini,Nanna
117,Anders,Athena
118,Moses,Torunn
119,Moses,Torunn
120,Moses,Torunn
121,Moses,Torunn
122,Moses,Torunn
123,Moses,Torunn
124,Moses,Torunn
125,Pablo,Torunn
126,Ola By,Christina
127,Ola By,Christina
128,Ola By,Christina
129,Ola By,Christina
130,Ola By,Christina
131,Mini,Christina
132,Laurtis,Leslie
133,Laurtis,Leslie
134,Laurtis,Leslie
135,Laurtis,Leslie
136,Laurtis,Leslie
137,Laurtis,Leslie
138,Laurtis,Leslie
139,Laurtis,Leslie
140,Laurtis,Leslie
141,Moritz,Lona
142,Moritz,Lona
143,Moritz,Lona
144,Moritz,Lona
145,Moritz,Lona
146,Moritz,Lona
147,Moritz,Lona
148,Kjartan,Helga
149,Kjartan,Lise
150,Kjartan,Lise
151,Kjartan,Lise
152,Kjartan,Helga
153,Kjartan,Ida
154,Kjartan,Ida
155,Horst,Tanja
156,Horst,Tanja
157,Dino,Rosa
158,Dino,Rosa
159,Dino,Tanja
160,Dino,Tanja
161,Thomas,Tanja
162,Edwin,Tanja
163,Ludwin,Karin
164,Ludwin,Karin
165,Ludwin,Karin
166,Edwin,A_se 
