ID,Father,Mother
O1,S53,M1
O10,S17,M4
O100,S2,M37
O101,S21,M39
O102,S53,M40
O103,S45,M41
O104,S19,M41
O105,S45,M43
O106,S56,M43
O107,S35,M43
O11,S37,M4
O110,S56,M44
O12,S2,M5
O14,S5,M5
O15,S33,M7
O16,S51,M6
O17,S42,M8
O18,S47,M8
O19,S2,M8
O2,S19,M1
O20,S35,M7
O21,S51,M6
O23,S45,M8
O24,S21,M9
O25,S53,M9
O26,S5,M9
O27,S35,M9
O28,S33,M10
O29,S17,M11
O31,S17,M11
O32,S56,M10
O33,S23,M12
O35,S56,M12
O36,S25,M13
O38,S21,M13
O39,S26,M14
O4,S21,M2
O40,S37,M12
O41,S31,M15
O42,S36,M16
O43,S56,M34
O45,S37,M16
O46,S20,M15
O47,S42,M17
O48,S2,M17
O49,S35,M19
O5,S21,M2
O50,S42,M18
O51,S56,M19
O52,S2,M20
O54,S11,M21
O55,S52,M21
O56,S51,M22
O57,S11,M20
O58,S49,M22
O59,S11,M20
O6,S17,M4
O60,S37,M23
O63,S49,M22
O64,S52,M24
O66,S49,M26
O67,S49,M25
O68,S46,M28
O69,S23,M28
O7,S16,M3
O70,S23,M28
O71,S4,M30
O72,S52,M31
O74,S21,M32
O75,S50,M30
O76,S11,M31
O77,S52,M32
O78,S5,M31
O79,S35,M29
O8,S17,M3
O80,S56,M30
O81,S21,M32
O82,S55,M29
O83,S56,M35
O84,S42,O83
O85,S1,M34
O86,S17,M34
O87,S2,M36
O89,S56,M16
O9,S36,M3
O90,S23,M34
O91,S55,M36
O92,S23,M35
O93,S21,M38
O94,S2,M37
O95,S51,M40
O97,S20,M40
O98,S35,M37
O99,S21,M38
