ID,Father,Mother
RKF087,A,B
RKF172,A,B
RKF052,RKF172,C
RKF173,RKF172,C
RKF175,RKF172,RKF059
RKF050,RKF175,D
RKF178,RKF076,I
RKF186,RKF076,I
RKF060,RKF076,I
RKF193,RKF060,RKF078
RKF080,K,J
RKF220,N,L
RKF234,N,M
RKF228,N,RKF084
RKF114,RKF193,RKF083
RKF062,P,RKF174
RKF172,P,RKF174
RKF192,O,RKF067
RKF201,RKF129,RKF179
RKF117,RKF105,Q
RKF109,RKF105,Q
RKF122,R,RKF055
RKF029,E,F
RKF031,E,F
RKF141,E,F
RKF040,E,F
RKF157,E,F
RKF213,E,F
RKF155,RKF031,RKF153
RKF036,RKF031,RKF153
RKF219,RKF031,RKF153
RKF032,RKF040,RKF212
RKF041,RKF040,RKF212
RKF046,RKF040,RKF043
RKF139,RKF157,RKF004
RKF034,RKF213,RKF143
RKF033,RKF213,RKF143
RKF170,RKF213,RKF143
RKF210,RKF213,H
RKF158,RKF219,RKF151
RKF221,G,RKF151
RKF047,AO,AP
RKF160,RKF047,RKF211
RKF037,RKF047,RKF211
RKF152,RKF042,AQ
RKF118,RKF152,RKF235
RKF156,RKF152,RKF235
RKF038,RKF152,RKF235
RKF191,RKF152,RKF011
RKF099,RKF152,RKF011
RKF162,RKF118,RKF005
RKF023,AY,RKF120
RKC020,RKF142,RKC019
RKF199,RKF142,AR
RKF168,RKF142,AR
RKF002,RKF142,AR
RKF142,RKF042,RKF140
RKF209,RKF042,RKF140
RKF016,RKF042,RKF140
RKF010,RKF042,RKF028
RKF042,AO,AP
RKF198,RKF218,RKF190
RKF218,RKF042,RKF028
RKF020,RKF218,RKF018
RKF184,RKF218,RKF018
RKF127,RKF218,RKF017
RKF013,RKF012,RKF017
RKF019,RKF012,RKF017
RKF231,RKF019,RKF120
RKF015,RKF019,RKF120
RKF023,AY,RKF120
RKF012,RKF042,RKF144
RKF100,RKF012,RKF140
RKC005,RKC012,AZ
RKC012,AY,RKC024
RKF014,RKC028,RKF140
RKC028,RKC038,AS
RKC038,RKC033,S
RKC036,RKC033,S
RKF238,RKC031,RKF140
RKC035,RKC031,RKC032
RKC011,RKC028,RKC044
RKC027,RKC011,RKC010
RKC029,RKC011,RKC013
RKC045,BA,RKC034
RKC043,AU,RKC044
RKC050,AW,AV
RKC046,AW,AV
RKC042,RKC033,T
RKC002,RKC033,U
RKC030,RKC033,U
RKC031,RKC033,U
RKC033,V,W
RKC047,V,W
RKC039,RKC047,AK
RKF053,RKF077,X
RKF124,RKF077,X
RKF126,RKF077,X
RKF196,RKF077,X
RKF180,AD,RKF056
RKF182,AD,AE
RKF110,RKF126,Y
RKF194,RKF196,Z
RKF121,RKF196,Z
RKF195,RKF196,Z
RKF225,RKF196,Z
RKF145,RKF180,RKF061
RKF081,RKF180,RKF061
RKF164,RKF180,RKF185
RKF148,RKF182,RKF185
RKF113,RKF225,RKF116
RKF088,AA,RKF128
RKC017,AL,AM
RKC007,AL,AM
RKC021,RKF088,AK
RKC008,AKC021,RKC007
RKC018,RKC021,AN
RKC009,RKC018,RKC007
RKF131,AC,AB
RKF098,AC,AB
RKF192,AC,RKF108
RKF104,AC,RKF108
RKF068,AF,AG
RKF181,RKF164,AH
RKF163,RKF164,AH
UNK,RKF148,RKF207
RKF073,RKF148,RKF207
RKF226,RKF148,RKF207
RKF147,RKF148,RKF207
RKF136,UNK,AI
RKF064,RKF147,AI
RKF079,RKF064,AJ
