ID,Father,Mother
T?AM1 ,E-AM3,A-AF1
A?Fl,E-AM3,A-AF1
T?AF1,E-AM2,B-AF1
B?Ml,E-AM2,B-AF1
B-UX1,B-AM1,B-AF2
B-AM1,A-AM1,C-AF1
B-AM2,A-AM1,C-AF1
G-AF1,A-AM1,C-AF1
C-Fl,A-AM1,C-AF1
M-AM2,A-AM1,C-AF1
A-AM2,A-AM1,C-AF1
C-Ml,C-AM1,C-AF1
D-Ml,D?AM1,D-AF1
D-Fl,D?AM1,D-AF1
D-M2,D?AM1,D-AF2
E-Fl,E?AM1,E-AF1
G-UX1,G?AM1,G-AF1
N-AF2,INCON1,H-AF1
H-Ml,H?AM1,H-AF1
H-F1,H?AM1,H-AF1
H-F2,H?AM1,H-AF1
J-Fl,J?AM2,J-AF1
F-Ml,J?AM2,J-AF3
M-Fl,M?AM2,M-AF1
N-AM2,UNK1,N-AF1
E-AM4,UNK2,N-AF1
N-Ml,N?AM2,N-AF2
N-M2,N?AM2,N-AF2
R-Fl,UNK3,R-AF1
NOS-AM3,S?AM1,S-AF1
S-Fl,S?AM1,S-AF1
S-F2,S?AM1,S-AF1
W-AF2,S?AM1,S-AF1
S-UX1,S?AM2,S-AF1
T-Fl,T?AMl,T-AF1
T-Ml,T?AMl,T-AF1
T-M2,T?AMl,T-AF1
W-Ml,W?AM1,W-AF1
W-Fl,W?AM1,W-AF1
NOS-M1,NOS?AM1,NOS-AF1
NOS-M2,NOS?AM3,NOS-AF1
MOS-UX1,NOS?AM3,NOS-AF1
