ID,Father,Mother
9,125,8
12,172,11
17,26,16
18,26,16
23,26,22
25,172,24
29,140,28
31,100,30
33,172,32
38,140,37
40,56,39
44,56,43
46,131,45
47,172,45
51,56,50
52,139,50
54,131,53
55,172,53
59,125,58
62,57,60
64,5,63
65,172,63
69,140,68
71,56,70
72,155,70
74,131,73
75,172,73
79,56,78
80,34,78
82,131,81
83,172,81
87,132,86
89,155,88
91,131,90
92,172,90
96,34,95
98,151,97
99,172,97
103,125,102
105,56,104
110,26,109
112,172,111
117,155,116
121,139,120
123,172,122
128,56,127
130,76,129
134,140,133
136,34,135
138,172,137
142,139,141
144,131,143
145,172,143
146,172,143
150,56,149
154,107,153
163,131,162
164,172,162
168,56,167
169,115,167
171,172,170
175,140,174
176,85,174
