ID,Father,Mother
AA,VI,AY
AK,VI,AY
LW,VI,AY
SB,OB1,AY
PB,VI,GZ
PU,TV,GZ
CC,TV,MA
CL,VI,MA
TC,EH,MA
AD,OB1,(AN)
JK,OB1,(AN)
OV,OB1,(AN)
RR,OB1,(AN)
DI,OB1,AY
GD,OB1,AY
RQ,MD,AY
SV,OB1,AY
ED,OB1,DA
OZ,OB1,DA
RY,OB1,DA
SZ,OB1,DA
AL,OB1,GZ
JF,OB1,GZ
LO,OB1,GZ
MM,OB1,GZ
OG,OB1,GZ
RX,OB1,GZ
SN,OB1,GZ
AE,DaMale,MA
GL,OB1,MA
TL,OB1,MA
VL,OB1,MA
JS,VI,GH
SX,VI,GH
TM,VI,GH
BS,VI,PS
DM,VI,PS
KG,VI,PS
AS,VI,CM
CV,VI,CM
IB,VI,CM
KH,VI,CM
ZS,VI,CM
AM,VV,GH
BJ,VI,GH
BO,VI,GH
DH,VI,GH
ES,VI,GH
BK,VI,NY
BM,VI,NY
IP,OB1,NY
RO,VI,NY
RS,VI,NY
c1,VI,BS
c9,VI,CM
c10,BF,JW
c2,VI,JW
c5,VI,PS
c6,MD,PS
c7,VI,PS
c3,VI,SX
c8,VI,SX
KK,WW,BR
MH,WW,BR
CU,IK,EK
LS,MD,EK
BT,WW,LD
RW,MD,MN
SR,WW,MN
JL,WW,MS
MG,WW,SL
PK,WW,SL
TR,WW,SL
ZO,WW,SL
