ID,Father,Mother
1001,M1,F1
1002,M1,F1
1003,M1,F1
1004,M1,F1
1005,UM1,F2
1006,UM1,F2
1007,UM2,UF1
1008,UM2,UF1
1009,UM3,F3
1010,UM3,F3
1011,UM3,F3
1012,UM4,F4
1013,UM4,F4
1014,UM4,F4
1015,M2,F5
1016,M2,F5
1017,M2,F5
1018,M1,F6
1019,M1,F6
1020,M1,F6
1021,M3,F1
1022,M3,F2
1023,M3,F2
1024,M3,F2
1025,M3,F2
1026,M3,F7
1027,M3,F7
1028,M3,F7
1029,M4,F6
1030,M4,F6
1031,M4,F6
1032,UM5,F8
1033,UM5,F8
1034,UM6,F9
1035,UM6,F9
1036,UM7,F10
1037,UM7,F10
1038,UM8,F11
1039,UM8,F11
1040,UM9,F12
1041,UM9,F12
1042,UM10,UF2
1043,UM10,UF2
1044,UM10,UF2
1045,M5,F7
1046,M5,F7
1047,M5,F7
1048,M6,F13
1049,M6,F13
1050,M6,F13
1051,UM11,F8
1052,UM11,F8
1053,UM11,F8
1054,UM11,F8
1055,UM11,F8
1056,UM12,F9
1057,UM12,F9
1058,UM12,F9
1059,UM13,F11
1060,UM13,F11
1061,UM13,F11
1062,UM14,F14
1063,UM14,F14
1064,M7,UF3
1065,M7,UF3
1066,M8,F15
1067,M8,F15
1068,UM15,F16
1069,M9,F17
1070,M9,F17
1071,M9,F17
1072,M9,F17
1073,M8,UF4
1074,M8,UF4
1075,M9,F18
1076,UM16,UF5
1077,UM16,UF5
1078,UM16,UF5
