ID,Father,Mother
6,K,L
7,K,L
13,B,A
14,B,A
15,C,D
17,C,D
18,C,D
19,E,1
21,E,1
25,G,2
26,E,1
27,E,1
29,H,4
30,H,4
31,I,J
32,I,J
33,N,O
35,8,9
36,10,9
37,P,11
38,15,R
39,17,16
40,17,16
41,17,16
43,17,19
45,18,19
47,21,20
48,21,20
49,21,20
51,21,20
52,21,20
54,S,22
55,S,22
56,U,T
57,U,T
59,U,T
61,V,24
64,W,24
65,W,24
66,Y,X
67,Y,X
68,Y,X
69,Y,26
71,28,27
72,28,27
76,29,Z
77,29,Z
78,18,19
79,18,19
80,18,19
81,AA,31
82,AA,31
84,AA,31
86,AB,33
87,AB,33
88,AB,33
89,34,35
90,34,AC
91,37,36
93,37,36
94,37,36
96,37,36
97,AE,AD
98,43,42
99,43,42
100,43,42
101,43,44
102,45,44
103,45,44
104,45,44
105,45,44
106,AF,AG
107,AF,AG
108,AH,46
109,52,AK
110,AL,53
111,AL,53
112,AL,53
113,AM,AN
114,54,AO
115,56,AP
116,AQ,AR
117,57,AR
118,57,58
119,AS,60
120,61,60
121,61,62
122,64,63
123,AT,AU
124,AT,AU
125,AT,AU
126,71,70
127,71,70
128,71,70
129,71,70
130,AV,AW
131,AV,AW
132,AV,AW
133,AV,AW
134,72,73
135,72,73
136,74,73
137,74,73
138,AQ,77
139,AQ,77
140,AQ,77
141,AQ,77
142,AQ,77
143,AQ,77
144,78,77
145,78,AX
146,78,AX
147,78,AX
149,80,AY
150,81,AZ
151,82,83
152,82,83
153,84,85
154,84,85
155,84,85
156,88,BA
157,88,BA
158,91,BB
159,93,92
160,93,92
161,93,BC
162,BD,95
163,BD,95
164,BD,95
165,BE,BF
166,BE,BF
167,98,BG
168,102,BH
169,102,BH
170,103,BI
171,106,BJ
172,106,BJ
173,106,BJ
174,108,BK
175,BM,BL
176,BM,BN
177,FF,BO
178,FF,BO
179,FF,BO
180,BP,BQ
181,BP,BQ
182,BP,BQ
183,BR,BS
184,BT,BU
185,BT,BU
189,BX,BY
190,141,BZ
191,142,CA
192,142,CA
193,CB,CD
194,CB,CD
195,CB,CD
196,144,CE
197,144,CE
198,147,148
199,CF,CG
200,149,CH
201,CI,CJ
203,CK,CL
204,CM,CN
205,CO,CP
206,155,CQ
207,CR,161
208,CR,161
213,ZA,ZB
215,ZC,211
216,ZC,211
217,ZC,211
219,ZC,211
220,ZE,ZD
221,ZE,ZD
222,ZE,ZD
224,ZI,ZH
225,ZI,ZH
232,ZJ,214
235,ZJ,214
237,ZJ,214
238,216,ZK
240,216,ZK
241,218,217
242,218,217
243,ZL,ZM
244,220,ZN
245,220,ZN
246,220,ZO
247,ZP,ZQ
248,ZR,223
250,ZS,223
251,224,ZT
252,224,225
253,224,225
254,224,225
255,ZW,ZX
257,ZY,ZZ
258,224,225
259,226,YA
260,226,YA
262,YB,227
263,YB,227
264,YB,227
266,YB,228
267,YB,228
268,YB,228
270,YB,228
271,YC,229
272,YC,229
273,231,230
274,231,230
276,231,230
277,YE,YD
278,YE,YD
279,YE,YD
281,237,236
282,237,236
283,237,236
286,237,YG
287,237,YG
288,YI,YH
289,YK,YL
290,YK,YL
291,YK,YL
292,238,239
293,242,YM
294,YN,243
295,244,243
296,248,YO
297,248,YO
298,YP,YQ
300,YR,250
301,YR,250
302,255,254
303,255,254
305,255,254
306,255,254
307,255,254
308,255,254
309,258,YU
310,256,YT
311,256,YT
312,258,YU
313,258,YW
314,YX,YU
315,YX,YU
316,YZ,XA
317,XB,261
319,XB,XC
320,265,XE
321,265,XE
322,270,XF
323,271,XE
324,XG,XH
325,276,275
327,276,277
328,XJ,XI
329,XK,XL
330,XM,281
331,XM,281
332,XN,XO
333,283,284
334,XP,285
335,XP,285
336,XQ,XR
337,XQ,XR
342,XZ,WA
343,XZ,WA
344,308,WB
345,308,309
346,311,WC
347,312,WD
348,WE,WD
349,313,WF
350,WH,WG
351,WH,WG
352,317,WI
353,318,WJ
354,319,WK
355,WL,326
356,327,326
362,WS,WT
363,WS,WT
364,WS,WT
367,365,366
368,365,366
371,369,WU
372,370,HH
373,370,371
374,370,371
