ID,Father,Mother
A1812,A,A1811
KFJ016,C,KFJ043
KFJ041,C,KFJ043
KFJ020,C,KFJ043
KFJ045,KFJ020,KFJ041
KFJ037,KFJ020,KFJ041
KFJ013,KFJ016,F
KFJ015,KFJ016,F
KFJ023,KFJ016,F
KFJ001,E,A1810
KFJ007,KFJ020,KFJ011
A1813,KFJ020,KFJ009
KFJ012,KFJ020,KFJ009
KFJ017,KFJ020,KFJ009
KFJ040,KFJ020,KFJ009
KFJ022,KFJ020,KFJ009
KFJ006,KFJ007,KFJ005
KFJ018,KFJ017,I
KFJ026,H,I
KFJ024,D,KFJ028
KFJ044,D,KFJ039
KFJ029,D,KFJ039
KFJ010,C,KFJ009
KFJ010,C,KFJ009
KFJ021,KFJ010,G
KFJ048,A1815,A1809
KFJ025,A1815,A1809
KFJ030,A1815,A1809
KFJ053,A1815,A1809
A1814,A1815,A1809
KFJ051,A1814,KFJ054
KFJ047,A1814,KFJ054
KFJ049,A1814,KFJ054
KFJ050,A1814,KFJ054
