FatherId,MotherId,Children
49680,33147,
49657,170,49656
49656,32493,
49225,0,32766
49054,30352,
48945,30800,
48840,28365,49352
48733,32496,28566
48594,29286,29636
48499,32044,
48481,30785,
48473,29646,
48452,32026,
48428,0,29615
48428,0,29627
48428,0,29629
48400,30793,
48307,32766,
48307,27,
48302,32346,
33143,32609,33064;33145;33144;33175;33199
33138,27700,33141;33079
33138,28024,33131;33139
33135,32599,32600
33135,32656,33195
33134,31446,
33133,30651,33154;33188;33073;33194;33088
33132,30466,33187;33092
33132,31446,33152
33132,31449,
33132,0,33084
33132,0,33136
33130,29181,
33129,31330,33080;33086;33093
33128,157,
33128,158,
33127,29964,33170;33181
33126,30901,
33126,31061,33165
33126,31998,
33125,28448,33110;33177
33125,31106,33087
33122,28398,33123
33122,30991,33116
33121,29910,33178;33183
33117,31291,33119;33118;33186;33193;33196;33076
33117,31604,33176;33120
33114,31366,33067;33129;33191;33173
33113,32695,33174;33097;33161
33112,29190,
33112,31568,33085;33099
33112,32617,33153;33108
33111,29170,33201;33134;33128;33159;33192;33180;33164
33110,30981,
33110,32688,
33108,29921,33109;33142;33167;33137
33108,31420,
33107,30906,
33105,31092,33115
33104,32110,
33104,32695,
33101,27720,33185
33101,31394,33102;33106
33099,29910,
33099,30357,
33099,30633,33171;33100;33189
33099,33169,
33098,28380,33168;33112;33095;33077
33098,30466,
33095,30609,33157
33095,32688,33169
33095,49352,33065;33117;33146;33190
33092,32119,33155;33135;33138
33092,32334,
33091,31744,
33090,30353,
33090,49352,33075
33089,156,33066;33091;33121
33087,27720,33147;33163
33086,31348,
33083,28360,33158;33090
33082,28448,33105
33081,30917,33148;33130;33127;33107
33081,32372,33184;33083;33150;33069;33114;33160;33166;33078
33078,30908,
33078,31568,33143
33075,30991,
33074,31981,33162;33182
33070,28363,33200;33071;33156;33072
33069,28368,33126;33104
33069,29964,
33069,31106,33101;33113;33094
33068,28471,33132;33098;33111;33125;33074;33089
33066,29910,33133;33151;33070;33124;33122
33066,31345,
33065,31604,33103;33096;33172;33198
33061,30767,32554;32669;33062
33059,29999,33060
33058,29880,
33057,32579,
33056,30285,32590;32660;32804
33056,31003,33013
33056,31111,32606;32553;32875;32679
33054,153,32691
33050,29194,33051;33052;32697;32703
33050,30621,
33048,27737,33049;32563;32937
33046,29255,
33045,33168,
33045,49745,
33043,28031,32584;32573;32992;32680;32925;32595
33043,31332,
33042,28048,32876;32587;32918;32963;32629;32729
33042,31750,
33041,27907,32965;32733
33040,30324,32898;32848
33040,31082,
33040,0,33029
33037,29194,
33037,30354,33038
33037,30621,
33037,30324,32839
33033,31321,33034;33035;32928;32797;33036;32616;32647
33032,30001,32929;32870;32832;32731
33032,30643,32581;32886;32593
33031,29235,32588;32722;33057
33031,32597,
33030,29871,32914;32726;32635;32676;32943
33029,27653,32793;32795;32659;32694;32664;32871
33027,0,32961
33027,0,32571
33027,0,32681
