FatherId,MotherId,Children
939,940,941;1;1406;942;5;948;949;944;945;946;947
1,2,1658;18800;1657;2553;2554;954;11964;13415;13414;9055;11962;11963
389,390,1942;1943;2;1941;391;1944
9,963,3;1092
3,4,9053;11578;969;1356;968;1663;1354;1355;1352;1353;967;966;965;964
3,1334,
3,1357,
3,1358,1359
3,14078,
430,431,1887;4;1886;6;1888;1889;435
6,5,1897;441;1898;1899
951,5,
17001,5,
6,1913,1927
6,1973,
6,437,1548;440;2580;1929;438;1928;439
6,1340,
1213,10,7;14
7,8,986;984;985;2577;2576;8507;11571;2575;982;983
7,8506,
37,36,327;324;325;1995;8;1994;1993;56;1999;1998;1997;1996
979,8,13426;11572
2574,8,
897,898,939;16522;9
9,10,16;1159;978;979;1166
9,961,975
9,962,11;1090;16853;1091
403,405,10
11,12,971;1254;9040;1019;974;973;1473;337;972;11604;1011
11,300,8500;769;11605;11607;11606;1722;1721
355,357,358;29;12;360;362
45,46,1251;530;524;27;300;13;302
13,14,307;306;624;8638;631;11922;1520;308;11923;1521;632
68,78,1081;2937;2936;976;15
15,16,9056;13260;13261;8682;82;2361;1634;2360;1635;2362;11737
15,17,34;71;81;80;2359;2358;79;9020;1633;9019;11738;11739
920,921,926;17;927;929;928;931;930
866,1227,18;1121
19,18,69
381,382,19;383;385
185,186,2988;20;188;2986;873
20,21,205;2581;11683;204;207;206;11684;208;209;1183
20,198,970;201;234;200;203;202;199
20,190,
1213,847,21
69,393,1953;1955;22;1954
22,23,
22,11783,
22,18003,
26,847,8516;855;854;1085;23;853;1084;852;25
1346,23,
16970,23,
430,432,1883;1882;1881;444;445;1885;1884;24
24,25,1896;443;11833;144;1313;348;1893
24,41,442;1691;1895
24,1872,
24,16708,
24,15289,
11601,25,
826,828,102;1064;26;841;1063;1060
26,27,848
26,11594,
1345,27,
826,827,1066;1671;832;1670;1070;1071;1069;830;28;1675;1674
29,28,1987;1986;369;368;371;370;367
75,100,118;1115;110;124;30
30,31,11651;11650;2611;123;122;121;120
30,11649,
811,35,2541;2540;2537;2536;2539;2538;814;31
72,1289,32;66;147
32,33,429;3508;991;3510;74;75
32,126,48;1190;54
32,1205,357
801,8532,805;33
37,319,35
501,503,36;8577;557;2723;555
1991,36,1992
316,317,507;37;3535;1244
37,320,332;2516;2517;331;2515;328;329
37,153,2702
37,2700,2701
534,1253,2511;550;2510;548;38;545;543;8578;2512;2513
2631,38,8686;8685;8684;11740;11741;16109
182,184,410;2488;2489;2490;39;1178;2487
39,40,239;238;237;9028;1650;1649;11677;240;241
525,526,529;528;40;527;41;2531;2530
2642,41,
1687,41,
155,156,52;42;2345
42,43,9044;158;159;163;162;2346;161;2347;160;1639;166;164
501,502,518;534;1505;515;525;43;89;1240;520;523
991,992,44
44,518,519
44,576,577;2300;578;579;580;2299;11676;1528;1788;1636
58,57,297;299;45
45,1235,480
45,1237,
477,481,508;510;504;512;505;501;46
1003,46,
510,511,594;581;596;583;1856;587;47;589
48,47,2459;49;142;8739;146
48,130,137;136;138;55;2682;132;134
48,141,
50,49,9015;495;13441;11549;11548;490;15348
1177,410,50;1932;1931
626,627,51;1802;1250;233;1023;1006;1801
51,52,9062;1803;630;629;628;1815;1814;1813;1812;1688;1811;11542
51,340,14126;18116;13432
