FatherId,MotherId,Children
8832,8909,1
8836,8442,2;2835;2834;8988
8860,8790,2823;3;2824
8854,7285,4
8866,5921,5;6
8861,8959,7;8
8867,8970,2813;9
10,0,11
10,0,12
12,197,17;16;19;18;15
10,0,13
59,13,62;61;60
11,0,14
15,62,23
15,538,25;24;27;26
15,1796,
15,8385,
16,7826,42;40;41
16,129,
16,7509,
17,138,2382;2381;46;47;45;51;50;49;48;54;53;52;2568
17,536,
92,18,
12,0,20
20,287,
20,418,55;11004;11008;11005;11009;11006;11010;11007
20,7095,747;2370;56;951
20,4311,
12,0,21
445,21,454;453;452;451;450;449;448
370,21,393;392;391;390
12,0,22
199,22,204;203
285,22,342;341
449,23,463;462;461;466;467;464;776;465
24,203,692;2575;29;28;31;2376;30
24,326,32;33;2577;2576;57;192
25,740,38;39;37;2378;11252
25,519,34;35;36;2579;748;2578;798;2380
40,27,745;43
332,27,768;769
82,28,
40,186,2371;2569;2377
40,252,2570
42,67,746;2372;2373;2562;2572;44;2571
42,175,2374;2563;2573;2574
55,485,2375;799
58,0,59
59,87,64;65;63
59,810,66
59,7864,
60,369,80;79
91,61,95
220,61,233;232;231;230;229
9031,62,
9095,62,739;742;741;740
63,383,68;69;70;772;67;2364
63,9020,71
64,100,2580;2561;76;743;74;75;2366
64,205,77;78;2367
7027,65,7033;7034;7035
9534,65,
631,70,2937
63,0,72
63,0,73
222,79,254;255;252;256;253;257;251;2415
80,137,85;84;86;744;81;2560;83;82
251,81,9686;9687;2416;9688
88,0,89
89,0,90
90,7150,93;92;94;91
91,9536,2899;96;97;2900
92,1524,102;100;101
93,306,103;749;104;105
9031,94,
8714,94,
8907,94,8911;8910;8909;8908
95,452,98;99;771;2384;2585;2586
739,101,2385
1021,101,9822
1493,102,9738;2517
428,103,
58,0,106
58,0,107
58,0,108
108,0,109
199,109,201;200
2123,109,2133;2132;2131
110,0,111
118,0,112
217,112,220;221;222;223;218;219;225;224
110,0,113
113,0,114
114,0,115
115,0,116
115,0,117
115,0,118
116,0,119
116,0,120
120,0,121
121,489,137;136;139;138;129;131;130;133;132;134
121,10869,
121,269,135
120,0,122
120,0,123
120,0,124
120,0,125
7481,125,7489;7488
8026,125,
120,0,126
126,678,373;372;375;374;369;368;371;370;366;367;376
126,839,377
126,691,379;378
126,1062,381;380;382
120,0,127
127,486,288;289;290;287;286
127,807,283;282;285;284
127,9352,291;292;293;294
120,0,128
284,129,317
218,129,
130,488,141;140;143;142;144;145
130,223,152;153;154;155;146;147;148;149;150;151
130,372,
283,131,309;308;311;310
413,132,11012;11011;485;484
377,133,400
173,133,
530,133,551
571,133,620;621
172,134,175;176
285,135,340;339;338;337;336;334;335;332;333;330;331;329
136,646,
136,705,156;157;158;159
136,536,161;160
200,137,205
382,139,410;2404;408;2558;409;2923;406;407;404;405
141,454,494;750;2418;162;2946
146,233,2420;2419;2947;166;165;164
147,175,167
147,2951,2949;2948
234,148,
298,148,774
507,148,
149,742,214;215;2945
149,559,270;271;2944
150,244,272;680;2950
150,338,2407
484,151,2583
171,288,163;9675
222,163,258;259
117,0,168
168,679,170;169
168,8979,171;174;173;172
170,373,9666
170,1867,186;187;184;185
170,1312,188
172,295,178;179;177;182;183;180;181
172,4311,759
174,228,
174,9999,
174,9998,9732
174,9997,9733
207,178,213
322,178,2897;2905
184,386,189
184,9681,9667;9682
185,7253,
185,9683,9671;9673;9672
226,186,9690;9691
574,186,595
9675,187,
188,584,493;2421;492;190;191
193,0,194
193,0,195
193,0,196
193,0,197
193,0,198
194,0,199
199,506,202
199,536,
200,380,207;206;212;208;209;210;211
200,797,
200,705,
1558,202,
685,202,11022
226,204,262;2417;260;491;261;490;9689
557,206,564;773;2428;2546
304,206,2599
207,9684,9674
294,209,
520,209,760;761;2927
216,0,217
217,8979,226
217,269,228;227
218,287,
220,268,235;234
220,879,
220,1867,
220,320,752
221,419,248;249;246;247;244;2414;245;242;243;241
221,536,250
221,9996,
221,9995,
