FatherId,MotherId,Children
1,2,3;4;5;7
7,6,8;9;10
1,12,11;13
0,11,17;16;18;14;15
0,20,21;23;22;24
1,19,20
108,107,25;26
25,27,28;30
30,29,32;31
25,33,34;35;36;37
26,38,39;40;41
0,41,42;43
44,45,46;47
48,50,51;54;53;52
111,110,49;48
0,54,55
48,56,59;58;57;60
0,60,61
49,62,64;63
111,79,65;66
65,67,68;69;70;71;72;73
66,74,76;77;78;75
81,80,84;83;82
85,86,87;93;92;89;88;91;90
0,0,33;94
94,95,98;96;97
105,106,1
0,101,105
116,117,44
108,109,116
113,112,81
0,103,113
115,114,85
0,104,115
0,102,111;108
