FatherId,MotherId,Children
1,10001,
1,3029,2;3;4;5;6
1,10002,7;8;9
10003,0,10002
1,10004,10008;10005
10007,10005,10030;10031;10028;10029
10010,0,1
3,3032,17;16;19;18;14;15
3021,10011,3032;3031
2,0,11
2,0,12
2,0,13
3,1305,21;20
10013,4,22
1301,4,23;25;24;27;26;29;28
2,0,10
3062,5,34;32;33;31;30
10016,6,35;38;36;37
7,10017,39;40;10020;41;10019
10018,0,10017
8,10021,45
9,3842,51;50;49;48;53;52;46;47
9,10023,55;54;59;58;57;56;60
9,5326,64;65;63;62;61
10024,5309,5328;5326;5327
0,10025,10013
0,10026,10025
10027,0,10007
10008,10032,10035;10034;10033
10,3334,68;69;66;67
11,23,70;71;72
10037,12,73;74
10038,0,10037
10039,13,75
14,36,76;77
14,10040,78
14,47,
14,28,79
14,10041,
10042,0,10041
14,3334,81;80;82
10043,15,84;83
10044,0,10043
10045,16,85
10043,17,
10046,17,87;86
10047,17,88
10048,17,
10049,0,10048
215,18,89;90
3099,18,
20,1344,98;96;97;93;92;95;94;91
20,2017,100;99
20,10054,101
10055,0,10054
21,1345,102;103;112;110;111;108;109;106;107;104;105
21,1472,117;116;115;114;113
21,773,119;118;121;120
10063,22,122
10065,23,123
10066,0,10065
10067,24,125;124
4690,24,
4690,17,
50,26,127;126
1341,28,
10030,28,129;128;131;130
29,10071,
10072,11245,12389;12390;10246;10071
29,1322,137;136;139;138;141;140;143;142;133;132;135;134;144;145
29,10074,146;147;148;149
10075,0,10074
29,4763,
4719,0,
10080,30,159
10081,0,10080
31,2863,162;161;160
10084,32,163
10085,0,10084
10086,34,168;167;166;165;164
35,10087,170;169
10088,0,10087
35,10089,171;175;174;173;172;176
10090,0,10089
37,1323,178;177
37,0,
10092,38,
39,10093,
39,10094,184;185;179;182;183;180;181
10095,0,10094
39,10096,186;187;188
10097,40,190;191;189;193;192
10098,10019,10102;10101;10100
10099,0,10098
5367,41,197;196;198;195;194
10103,10101,205;204;201;200;203;202;199
5319,10102,207;206;208
10105,45,209;210;211
46,10106,212;213;214
10107,13140,10106;10072;13139;14550;14546;10707
46,10108,
10109,47,215
5305,47,216
10110,5303,5307;5306;5305;5311;5310;5309;5308
10111,49,217;218;219
10112,0,10111
10114,51,220;221
10115,0,10114
52,2572,222
52,1321,223;226;225;224
10119,57,
58,0,227
10121,60,10123;10122
2564,61,236;235;234;233;231;230;229;228
1317,62,239;238;237
3850,62,242;241
7019,62,
63,77,243
63,7009,244;245
63,1390,247
64,10135,
10136,0,10135
64,450,248
122,10261,455;454;453;452;451;450
64,10139,249
10140,0,10139
10142,10028,10143
10145,10029,7009;10149;10148;10147;10146
10030,10150,10154;10153
10151,0,10150
10152,0,10151
10031,3875,10158;10157;10156
10033,10161,10164;10162;10163
10166,10034,10168;10169
10167,0,10166
10129,10035,10172;7019
10174,0,10173
66,10173,254;255;252;256;253;257;250;251
67,318,258;259;262;260;261
78,10190,315;317;316;318
68,1637,263;266;264;265
10177,69,267;270;271;268;269
10178,0,10177
70,10179,275;274;273;272;278;277;276
10180,0,
70,4823,
10181,71,279;283;282;281;280
5204,72,288;289;290;291;287;286;285;284
10183,73,293;294
74,10184,295;296;297;298;299;300;301;302;303
10185,0,10184
75,10186,305;304;307;306;308
10187,0,10186
1370,77,309;311;310;313;312
78,10191,
78,10192,
10193,79,319
10194,0,10193
10195,79,322;320;321;10282;10284
292,80,326;327;324;325;323;330;328;329
1903,81,337;336;334;335;332;333;331
10198,1485,1901;1902;1903;1905;1904;1907;1906
10199,0,10198
10200,0,10199
10201,82,343;342;341;340;339;338
10206,85,352;353;354;351;350;349;348;347;346
10207,0,10206
86,10208,356;355
10209,0,10208
86,5256,357;358
10211,88,359
10212,0,10211
10213,0,10212
89,287,364;365;366;360;361;362;363
10216,90,367
10217,90,
10218,90,369;368;370
10219,0,10218
10220,90,
10221,90,
1398,91,371
1398,92,373;372;375;374;377;376
1492,92,379;378
93,770,381;387;380;386;383;385;382;384;388
94,1997,395;394;393;392;391;390;389
95,110,399;398;397;396;400;401
