FatherId,MotherId,Children
1,2,4;6
5,6,15
3,4,17;22
13,15,30
7,22,34;33;529
9,22,610;532;35;38;544;42;46;44
8,10,19;18;21;20
305,21,32;31
12,16,715;26
11,14,626;28
25,626,625;36;37;40;41
715,30,716;39;815
24,27,724;726;727
26,28,302
29,32,709
23,31,49;48;55;547;52;43;47
45,46,732
529,625,51;50;54;53;56;537
81,17,405
724,815,545;525;543;725
709,803,721
57,59,68
58,59,72
66,68,720
72,75,527
60,62,71;76;301
61,76,549
63,65,80;83;74
74,79,102;100;714;99;96;108
78,79,629;95;94;89;91
527,629,719;111;556;109;636
302,111,807;124;123;808
547,636,702;548;802;637
77,80,87;638;88;90
77,82,97;93;92
549,638,110;616;106;107;522;105;114;113;112;541;809;539;810;121;120
303,105,811
104,105,631;630;617;520
64,67,75
69,73,733
70,71,85;81;536
83,405,804;117;717;546;718;538
84,85,115
536,86,103;605
510,605,508;119;509;729;730;116;507;402;122
718,401,125
98,804,118
101,804,614
710,804,627;805;806;519;628;632;711
126,127,130;133;148
129,130,813;147
132,133,153;641
305,148,201;200;530;196;195;194
142,813,178;179;633
146,813,175;174
151,813,184;183
531,175,210;211
138,139,531
531,185,217
301,159,535
157,176,542
542,182,533;223;731;540;226;225;224
158,177,182
180,181,707;708
707,620,622;621
708,618,304;619
179,610,220;221;218;219;618;620
301,633,216;212;634;213;704;214;215
140,147,170
141,147,171;173;514
171,635,235;234;233;232;231;230;229;228;401;227;623;523;222;601;639;604
145,152,187;528;635
172,635,518;511;236;613
207,639,512
206,639,517
714,639,550;551;513;506;515;557;521;640;607;404;606
544,601,504;501;603;502;602;503
0,706,
173,204,237
726,623,612
532,604,254;253;505
514,608,239;238;701;534;801;526;554
162,608,555
168,608,553
169,608,723;240
144,153,188;162
188,189,803
154,156,189;814
188,814,722;242
160,814,204;706;241
205,241,812
547,241,516
552,641,712;203;202;197;198;193;192;190;191;246;244;245;243;303
199,209,609
722,801,403
136,149,608;163;166;165;164
128,131,136;150
143,150,713
530,624,728;611;817;615;816;524
134,137,624
161,624,703;252;250;251;248;249;247
135,155,161
208,634,705
