FatherId,MotherId,Children
167,1,
99,1,
172,75,2
92,2,
189,190,3;201;8;57;131;107
3,84,110
3,26,
3,65,111
4,173,105
181,0,5
72,6,53
51,6,130
187,188,7
7,9,
154,0,9
91,9,
12,24,64;54;11
12,14,68;49;143;44
12,58,
0,191,13
13,114,
13,58,
15,96,
15,50,
104,16,52
118,33,17
144,17,
201,0,18
18,45,
19,90,
202,204,20;73
133,20,
85,20,
0,37,21
43,21,
12,22,
23,52,
169,50,25;121
202,203,26
112,27,63
99,28,142
86,29,113
30,36,
30,59,
147,166,80;31
70,31,
73,0,33
110,34,
165,34,
54,62,35
0,145,36
180,0,37
61,37,
54,39,
152,46,40
136,40,
127,41,
139,41,
42,97,
44,47,
93,48,
201,48,
163,49,
115,195,50;159;123
54,100,
160,158,55;75
172,55,
119,90,78;56
57,213,
0,145,59
138,60,173
207,0,61
61,164,
131,62,
95,0,65
134,66,
163,161,84;67
151,90,69
76,69,
98,69,
172,171,70
150,71,
167,71,
141,71,
112,205,77
94,77,
98,78,
79,105,
128,80,
217,0,81
82,140,
83,156,
214,215,87;213
120,88,122
110,89,
167,89,
165,89,
187,186,91
207,0,92
94,106,
125,0,96
111,96,
210,211,97;132
218,0,98
198,199,141;99;150
144,101,
111,102,
108,103,
112,206,106
109,171,
110,168,
138,113,
192,0,114
115,197,124
196,0,116
0,219,125
221,222,158;126;149
160,126,
218,220,128;166
129,142,
0,88,133
217,0,134
150,137,
212,216,138;160
127,0,139
210,0,144
162,146,
208,0,148
148,164,
196,0,153
184,185,186;154
165,0,155
163,219,
95,0,165
165,170,
0,200,167
157,0,168
172,173,
182,183,180;181
193,194,191;192
95,0,200
209,0,207
209,0,208
210,17,
