FatherId,MotherId,Children
1,0,4
0,2,5
0,3,7
0,3,9
6,7,
6,9,
6,11,
12,11,
14,11,
15,0,19
19,20,27
21,0,28
0,22,29;30
0,7,38
28,27,39
28,29,42;40
31,30,
0,30,44
32,11,
0,11,46
6,35,
37,38,
39,38,
0,38,48
43,42,
0,42,51;50
44,45,
0,45,52
4,48,
0,48,54
5,50,
0,50,56
51,52,
36,52,
0,52,58
40,54,
46,56,
59,58,
0,60,64
0,60,66
0,61,69
0,61,70
0,62,71
0,64,74
66,65,80;77;79;75
67,68,
69,68,
0,68,81
0,68,82
70,71,
0,71,84
0,71,86
74,75,
76,75,
76,77,
0,75,91
0,77,93
0,79,94
76,79,
82,83,
84,83,
0,83,95
0,83,98;96
84,85,
86,85,
0,85,100
86,87,
0,87,103;104
88,89,
0,89,105
90,91,
92,93,
95,94,
97,96,
0,96,107
97,98,
0,98,110;108
97,100,
102,101,
105,104,
80,107,
109,108,
109,110,
0,3,11
15,0,1
15,0,2
15,0,3
1,20,6
