FatherId,MotherId,Children
2,1,3
4,3,5;6
7,6,8;9;10;11;12
13,12,17;16;18;14;15
19,18,29;31
20,21,32
0,120,21
0,120,22
23,22,34;33
24,25,36;37
26,27,43
28,29,44
30,29,50;49;48;46
0,125,30
31,32,51;54;65;67;59;57;56;62
103,34,
36,35,
37,38,68;70;71
0,125,38
39,40,73;75
41,42,78
44,43,86;83;82;79;88
44,45,89
46,89,90
47,48,
49,70,91
51,50,100;97;92;94
0,122,52
52,54,
53,54,101
55,54,102
55,56,
57,58,
0,123,58
60,59,
0,121,66;60
62,61,
62,63,
65,64,
65,66,
68,69,103;104
103,71,
72,73,105
75,74,
76,77,106
78,79,
80,79,
82,81,
103,83,
84,83,
86,85,
91,85,107
86,87,
94,93,108
94,95,
96,97,110;111;109
0,119,98
0,119,99
99,100,118;117;116;115;114;113;112
0,124,122
0,124,123
