ID,Father,Mother
62399,*1,#1
62400,*2,#2
62401,*3,#3
62402,*4,#4
62403,*5,#5
62408,62404M,93056F
62409,62404M,#6
62410,*6,93059F
62411,*6,#7
62412,62404M,#8
62413,*7,#9
62414,62404M,78233F
62415,*8,#8
62416,*9,#4
62417,*10,#10
62418,62404M,78227F
62419,*11,#11
62420,62404M,#12
62421,62404M,#13
62422,62404M,#14
62423,*12,#15
62424,*13,#2
62425,62405M,78234F
62430,*14,78252F
62431,*15,93062F
62432,*16,78258F
62433,*17,#7
62434,*3,#15
62435,*8,#6
62436,*17,78257F
62437,*18,78261F
62438,*17,#10
62439,*19,#11
62440,62427M,78255F
62441,*20,#3
62442,*17,78260F
74449,*17,78258F
74450,*17,78260F
74451,*17,78257F
74452,62427M,78255F
74453,*19,#15
74454,62427M,78253F
74455,*17,93062F
74456,*15,78252F
74457,*1,78261F
74458,*20,78254F
74459,62404M,#12
74460,*2,78271F
74461,*10,78227F
74462,*21,#16
74463,*21,#14
74464,62427M,#3
74465,*9,78233F
74466,*13,#17
74467,*19,78230F
74468,*16,#18
74469,*14,#11
74470,*22,#1
78211,*7,78234F
78212,*23,78231F
78213,62404M,78228F
78214,*16,#10
78215,*23,78227F
78216,62404M,78230F
78217,62405M,78226F
78218,62404M,#12
78219,*24,78229F
78220,62404M,#17
78221,*8,78233F
78225,*18,#17
78235,62427M,78255F
78237,62427M,78260F
78238,*20,78250F
78239,*3,#5
78240,*25,78251F
78241,*26,78262F
78242,62427M,#15
78243,*12,78261F
78244,62427M,78257F
78245,62427M,78252F
78246,62427M,93062F
78247,62427M,78254F
78248,62427M,78258F
78263,*21,78271F
78264,*4,78270F
78265,*11,78269F
93043,62406M,78230F
93044,62406M,93056F
93045,*5,93057F
93046,78268M,78270F
93047,*27,93059F
93048,78267M,78269F
93049,62427M,93061F
93050,62427M,93062F
93052,62427M,78261F
93053,*28,93065F
93054,*22,93066F
