ID,Father,Mother
Jete,Buttom,Netsai 
Jaggers ,No Name,Netsai 
Bonus ,Buttom ,Netsai 
Boy ,Dundweri ,Netsai 
84.04/S ,Buttom ,Netsai 
Sun ,No Name ,Sirica 
Increase ,No Name ,Sirica 
Alice,No Name ,Sirica 
Dundweri ,Buttom ,Bulawayo 
Mupunga ,Buttom ,Bulawayo 
Kumalo ,Buttom ,Bulawayo 
Chando ,Buttom ,Bulawayo 
Chiyedza ,Buttom ,Disco 
Handboy ,No Name ,Mazyanang 
Monarch ,Penga ,Sara
Atalia,Penga ,Jete 
84.01/02/S ,Penga ,Jete 
Rufaro ,Buttom ,Harare 
26.01/02/S ,Buttom ,Harare 
