ID,Father,Mother
dung_neo,L41,J28
henry_neo,L57,J11
J11,*4,J4
J14,J1,J12
J19,*4,J4
J22,J1,J10
J26,*7,J16
J27,J1,J11
J28,J1,J17
J30,*1,J14
J31,*7,J11
J32,J1,J20
J32_fetus,L85,J32
J33,J1,J16
J34,L41,J22
J35,L41,J17
J36,L41,J16
J37,L41,J14
J38,*8,J22
J39,J1,J11
J40,L41,J14
J41,J1,J19
J42,J26,J16
J44,L41,J17
J45,L41,J14
J46,J1,J28
J49,L79,J37
J53,L41,J17
K11,*11,#7
K12,*4,K4
K13,*4,K11
K14,J1,K3
K16,*7,K3
K20,*12,K13
K21,*7,K18
K22,*1,K12
K25,*12,K13
K26,*7,K14
K27,J1,K13
K33,L41,K22
K34,L41,K13
K35,L41,K16
K36,L41,K14
K37,J1,K12
K40,*10,K18
K42,L41,K14
K43,J1,K12
K44,L78,K27
L100,L41,L54
L101,L41,L67
L103,J1,L55
L106,L41,L86
L108,J1,L54
L109,J1,L55
L112,L41,L86
L116,L41,L82
L118,*14,L55
L119,L78,L77
L27,*15,L4
L41,*4,L11
L54,*5,L26
L60,*4,L26
L67,*16,L2
L72,*12,L43
L73,*17,L5
L77,*7,L11
L78,*17,L2
L79,*7,L22
L82,*1,L55
L83,*1,L47
L84,*7,L51
L85,*7,L28
L86,*17,L4
L87,*17,L32
L88,*17,L2
L89,*7,L22
L90,*17,L26
L92,*1,L60
L94,*7,L13
L95,L41,L43
L98,*17,L67
