ID,Father,Mother
KIW,ALE,KEL
LEE,ALE,LAS
LOB,ALE,LAZ
LYE,ALE,LIM
LOG,ALE,LUN
LYM,ALE,LUN
WEB,ALE,WEN
ACA,AMA,ASH
KEY,AMA,KEL
VOW,AMA,VEL
VIG,AMA,VET
WYN,AMA,WAG
WRI,AMA,WEA
CED,AMI,CEL
DRA,AMI,DUD
DYN,AMI,DUD
FAR,AMI,FUM
FAS,AMI,FUM
HUM,AMI,HAL
HON,AMI,HEK
HIC,AMI,HEL
NIK,AMI,NYA
NYL,AMI,NYA
SOK,AMI,SER
FLA,AMI,FED
LEB,BEA,LAZ
LOZ,BEA,LUN
LIW,CHA,LAD
LOL,CHA,LIN
MUF,CHA,MYS
NJU,CHA,NIG
NOD,CHA,NYO
WAB,CHA,WAS
WIZ,CHA,WAS
WIV,CHA,WEM
NYM,CHA,NYO
LOC,DEN,LIM
PUM,DEN,PEN
HAJ,DHO,HAM
SCE,DHO,SOU
LEW,DIS,LAM
LIO,DIS,LIN
POW,DIS,PRU
ABB,EDW,ASH
CAI,EDW,CHE
COB,EDW,CHE
DUX,EDW,DRO
FIG,EDW,FED
HEG,EDW,HEI
NAW,EDW,NAD
OPH,EDW,OMO
SOR,EDW,SER
FAC,ELF,FUM
FUZ,ELF,FUM
HOL,ELF,HAL
HIB,ELF,HEK
NUT,ELF,NAD
NAT,ELF,NYA
SAU,ELF,SER
SHA,ELF,SID
MON,EXO,HAM
BIM,EXO,HOL
WAG,FAT,WHI
LOF,FAV,LAM
LAX,FAV,LIM
NCH,FAV,NIX
WOB,FAV,WAG
LOQ,FEL,LAR
MBE,FEL,MYS
NYE,FEL,NIG
NET,FEL,NIX
WIP,FEL,WEM
CRU,GAS,CHE
FAX,GAS,FAC
HAZ,GAS,HEK
SNA,GAS,SER
DOV,GIZ,DOT
ORY,GIZ,ORE
VIN,GIZ,VIX
SER,GOL,SAN
LAI,HNS,LON
LAN,IAG,LAD
NOO,IAG,NOB
DAK,ICA,DRO
WRA,ICA,WAD
ASH,INZ,ALF
DIV,INZ,DOT
ECH,INZ,ELL
HAM,INZ,HAN
OFR,INZ,OMO
OST,INZ,ORE
VIL,INZ,VIV
VET,INZ,VIX
VAN,INZ,VOR
LAT,JIT,LAR
LUG,JIT,LIN
NAV,JIT,NEE
NAI,JIT,NIX
WAT,JIT,WEA
WEU,JIT,WEM
KOL,KEI,KEL
LAD,KEI,LAR
NAP,KEI,NIX
NYU,KEI,NYO
WAD,KEI,WEM
WAS,KEI,WEM
RHO,KER,VOT
NOZ,KIL,NAP
RAN,LIB,VOR
LEX,LIOx,LAR
EPS,LIO,VIO
YAI,LOF,VAA
EVA,LOF,VEL
YOG,MLO,VIN
VIB,MLO,VIX
VAT,MLO,VOR
LAS,NEL,LEL
CHR,NEP,CHE
DRO,NEP,DUD
FED,NEP,FUM
HYR,NEP,HEI
SOU,NEP,SAN
VIP,NGG,VIX
HOK,NOA,HEK
HAP,NOL,HEI
HEL,NOL,HEI
SEW,NYU,SOU
VIA,ORB,VEL
VEX,ORB,VIV
LEI,ORY,LAS
LUP,ORY,LID
KER,PEP,KEL
LAZ,PEP,LIM
MYS,PEP,MOJ
NOB,PEP,NIG
WOM,PEP,WAK
DAG,PIS,DOV
DOX,PIS,DOV
DUB,PIS,DOV
ELV,PIS,ECH
VOC,PIS,VIN
VOY,PIS,VIX
CAB,PLA,CHE
DEC,PLA,DRO
HYM,PLA,HAL
LAW,PLA,LAR
LIB,POL,LEL
LID,POL,LIM
NAF,POL,NIP
POU,POL,PRU
WID,POL,WEN
ADO,POW,ASH
DAS,POW,DUI
ELB,POW,ECH
OOZ,POW,OFR
OXY,POW,OFR
OZO,POW,OMO
ONY,POW,OST
ORI,POW,OST
KEP,ROC,KEL
LOX,ROC,LAZ
LIZ,ROC,LIM
LEG,ROC,LUN
PEB,ROC,PRU
POK,ROC,PRU
POT,ROC,PRU
WES,ROC,WAG
WHO,ROC,WAG
WHE,ROC,WEA
WEX,ROC,WEN
WIG,ROC,WEN
WIR,ROC,WEN
WIS,ROC,WEN
LUI,ROC,LAS
PAI,ROC,PRU
OAT,ROY,OST
VAI,ROY,VOR
KUK,RUT,KAT
LAV,RUT,LON
HIM,SAWx,HEK
VAC,"SUDx,**",VEN
DAT,SUJ,DUD
DUI,TUZ,DOT
DEA,TUZ,DOV
DUN,TUZ,DOV
OBI,TUZ,OCH
OKO,TUZ,OMO
VEI,TUZ,VEL
VIO,TUZ,VEL
VAA,TUZ,VIN
VAP,TUZ,VIN
VAZ,TUZ,VIV
VOT,TUZ,VOR
HAL,TYC,HAN
NAD,TYC,NYA
OCH,TYC,OMO
VID,TYC,VIV
KUT,VAN,KOL
LUM,VAN,LID
CAD,VAN,LOC
WRE,VAN,WHE
OCE,VEG,OMO
THR,VEG,VET
VOG,VEG,VIV
NES,YOY,NYA
MEX,ZAI,MYS
WOO,ZIN,WAS
WYL,ZIN,WEM
DEL,?yy,DUD
LAL,?yy,LIM
PES,?zz,PEN
SIT,?xx,SPE
WIK,?***,WHI
