ID,Father,Mother
1,B022,A014
2,Z004,A014
3,Z007,A014
4,C020,A017
5,C053,A017
6,C155,A017
7,A075,A020
8,A075,A020
9,Z066,A020
10,A047,A021
11,A052,A021
12,Z042,A056
13,B080,A066
14,A088,A077
15,A125,A077
16,C101,A077
17,E003,A077
18,Z007,A081
19,A087,A101
20,A088,A119
21,C006,A119
22,C026,A119
23,A041,A131
24,D010,A131
25,D010,A131
26,D010,A131
27,D023,A131
28,A088,B005
29,A100,B005
30,C101,B005
31,C014,B006
32,C053,B006
33,C067,B006
34,C067,B006
35,C089,B006
36,C169,B006
37,C169,B006
38,C169,B006
39,C169,B006
40,D114,B006
41,A045,B013
42,A045,B013
43,C179,B013
44,A125,B024
45,A125,B024
46,B022,B024
47,B022,B024
48,B022,B024
49,C034,B024
50,C101,B024
51,C101,B024
52,C179,B024
53,D165,B024
54,D165,B024
55,D023,B025
56,D026,B025
57,A045,B034
58,A088,B036
59,C089,B036
60,C099,B036
61,D010,B057
62,C041,B082
63,C041,B082
64,C125,B082
65,C125,B082
66,C128,B082
67,A045,B084
68,C169,B084
69,D023,B084
70,D146,B091
71,D027,C003
72,A045,C024
73,C034,C024
74,C034,C024
75,C041,C024
76,C041,C024
77,C041,C024
78,D165,C024
79,C057,C040
80,C101,C040
81,C168,C040
82,C168,C040
83,C181,C040
84,C181,C040
85,C181,C040
86,E030,C040
87,D173,C043
88,D173,C043
89,D173,C043
90,C026,C049
91,C128,C049
92,D028,C049
93,D183,C049
94,Z071,C061
95,C193,C079
96,C057,C081
97,C057,C081
98,C057,C081
99,E001,C081
100,A125,C092
101,C099,C092
102,C099,C092
103,C099,C092
104,C099,C092
105,C101,C092
106,D103,C092
107,E049,C092
108,A045,C111
109,A125,C111
110,A125,C111
111,C168,C111
112,C142,C120
113,C181,C120
114,C181,C120
115,C181,C120
116,C193,C120
117,D131,C120
118,D186,C120
119,E021,C120
120,A107,C121
121,A072,C154
122,A100,C154
123,C067,C154
124,C155,C154
125,C002,C159
126,C016,C162
127,C142,C162
128,C181,C162
129,D010,C162
130,D023,C162
131,D114,C162
132,D176,C162
133,C034,C175
134,C034,C175
135,C133,C175
136,C133,C175
137,C179,C175
138,D037,C175
139,D008,D001
140,C006,D002
141,C041,D003
142,C138,D003
143,C153,D003
144,C002,D009
145,C099,D009
146,C164,D021
147,C181,D021
148,A088,D025
149,C142,D042
150,D030,D042
151,C016,D116
152,D165,D144
153,D037,D184
154,E046,D184
155,C181,E004
156,D183,E006
157,C101,E080
158,C181,E080
159,C128,E081
160,D190,E081
161,E065,E081
162,F025,F023
163,F025,F023
164,H003,F023
165,H005,F023
166,H005,F023
167,H045,F023
168,F025,G004
169,H006,G004
170,H006,G004
171,H005,H002
172,H045,H002
173,J011,H002
174,J011,H002
175,J020,H002
176,K013,H002
177,K014,H002
178,H001,H004
179,H001,H004
180,H001,H004
181,F025,H007
182,H045,H007
183,H045,H007
184,H045,H007
185,I031,H007
186,I031,H007
187,G014,H016
188,H042,H016
189,F025,H024
190,H006,H024
191,H006,H024
192,F033,H058
193,F033,H058
194,F033,H058
195,F033,H058
196,H069,H063
197,H069,H063
198,J111,H063
199,H069,H064
200,H069,H065
201,L021,H068
202,H069,H072
203,K004,H072
204,L002,H072
205,L035,H072
206,L141,H072
207,I005,I002
208,I005,I002
209,I005,I002
210,I005,I002
211,I028,I002
212,I081,I002
213,I024,I003
214,I048,I003
215,I085,I004
216,H091,I009
217,I051,I009
218,I081,I009
219,J036,I009
220,J037,I009
221,J041,I009
222,L121,I009
223,J013,I014
224,J088,I014
225,I010,I015
226,J041,I015
227,I017,I021
228,I016,I022
229,I047,I022
230,I006,I027
231,I007,I027
232,I010,I027
233,I011,I029
234,H045,I037
235,K011,I075
236,K011,I075
237,K011,I075
238,K011,I075
239,I035,I077
240,I035,I077
241,I007,I082
242,I007,I082
243,I007,I082
244,I053,J004
245,I053,J004
246,M007,J004
247,I016,J006
248,I016,J006
249,J013,J006
250,L017,J006
251,L017,J006
252,J018,J007
253,J055,J007
254,I084,J008
255,J013,J008
256,J013,J008
257,J032,J008
258,J032,J008
259,J064,J008
260,J088,J008
261,L071,J008
262,I053,J009
263,I053,J009
264,K013,J017
265,K014,J017
266,K017,J017
267,K017,J017
268,I018,J019
269,J011,J019
270,J020,J019
271,J020,J019
272,J151,J019
273,K017,J019
274,L007,J019
275,L011,J019
276,L014,J019
277,M026,J019
278,N104,J019
279,H005,J026
280,H042,J026
281,H042,J026
282,H042,J026
283,J011,J026
284,J020,J026
285,J048,J026
286,I011,J031
287,J048,J031
288,J048,J031
289,L021,J045
290,L090,J045
291,N033,J045
292,N103,J045
293,K016,J047
294,K016,J047
295,J011,J054
296,J048,J057
297,K014,J057
298,L025,J057
299,H042,J060
300,J086,J060
301,M006,J080
302,J085,J094
303,J129,J102
304,J129,J102
305,K015,J145
306,L021,K007
307,J055,K024
308,J086,K026
309,L009,K026
310,L011,K026
311,L014,K033
312,J048,K037
313,J055,K037
314,M006,K037
315,M004,L003
316,M014,L003
317,N004,L003
318,N004,L003
319,N033,L003
320,N053,L003
321,N067,L003
322,P006,L003
323,R033,L003
324,R079,L003
325,S005,L003
326,J111,L005
327,J151,L008
328,M011,L012
329,J088,L018
330,J088,L018
331,L017,L018
332,L071,L018
333,J011,L024
334,K011,L043
335,K011,L043
336,L121,L043
337,J032,L048
338,L101,L049
339,L123,L049
340,L123,L049
341,J013,L054
342,J013,L054
343,L121,L054
344,N065,L054
345,N065,L054
346,N079,L054
347,L071,L097
348,L071,L097
349,N007,L112
350,N007,L112
351,N007,L112
352,N070,L112
353,N070,L112
354,J088,L148
355,N014,L148
356,N024,L148
357,M007,M003
358,L101,M009
359,N078,N002
360,N103,N013
361,P006,N013
362,P008,N013
363,P008,N013
364,N078,N021
365,L011,N038
366,N006,N038
367,N018,N038
368,N018,N038
369,N105,N038
370,P011,N038
371,P021,N038
372,Q044,N038
373,Q045,N038
374,R029,N038
375,L007,N039
376,J048,N042
377,L011,N042
378,N007,N042
379,P005,N042
380,N024,N045
381,L101,N046
382,N087,N052
383,N103,N052
384,Q002,N052
385,Q087,N052
386,R033,N052
387,L014,N059
388,N071,N059
389,P011,N059
390,P011,N059
391,J086,N072
392,J151,N072
393,N056,N072
394,P021,N072
395,N100,N077
396,M011,N091
397,N004,N121
398,N004,N121
399,N067,N121
400,N067,N123
401,N004,N124
402,P001,N124
403,Q003,N124
404,N004,N128
405,N004,N128
406,N004,N128
407,P027,P002
408,Q003,P002
409,Q003,P002
410,Q003,P002
411,Q003,P002
412,N033,P003
413,N065,P014
414,P005,P019
415,P005,P019
416,Q072,P019
417,R026,P019
418,N079,P025
419,N079,P025
420,R033,P033
421,S005,P033
422,S005,P033
423,N004,P036
424,N004,P036
425,N004,P036
426,P006,P036
427,P006,P036
428,R010,P036
429,S079,P036
430,R039,P037
431,Q017,P043
432,Q088,P043
433,R033,P043
434,R096,P043
435,P011,P054
436,P011,P054
437,Q044,P054
438,Q091,P054
439,L152,P055
440,Q072,P055
441,R016,P055
442,R019,P055
443,R019,P055
444,R109,P056
445,N071,P063
446,Q044,Q011
447,Q062,Q011
448,Q062,Q011
449,P027,Q019
450,R019,Q021
451,N018,Q024
452,N018,Q024
453,N070,Q027
454,R052,Q027
455,P011,Q031
456,P011,Q031
457,P011,Q031
458,R021,Q031
459,P041,Q036
460,N004,Q041
461,Q002,Q041
462,R083,Q041
463,R016,Q061
464,R026,Q061
465,N070,Q070
466,R026,Q070
467,N004,Q081
468,R083,Q081
469,R039,Q082
470,J086,Q086
471,P011,Q090
472,R028,Q090
473,R015,R011
474,P011,R018
475,R028,R047
476,P006,R050
477,R010,R050
478,S019,R053
479,Q044,R060
480,Q002,R078
481,Q002,R078
482,Q002,R078
483,S083,S062
