FatherId,MotherId,Children
244,243,185;177;268
176,177,178;179;149
234,233,250;66;248;247;243
185,186,187;188;287;286
185,10001,
0,149,
226,227,238;237;235;233;240
0,0,217;218
221,222,231;228;227;10002
0,0,
247,245,
247,246,311;313;314;317;316;319;318
249,66,68;272;71;76;72;270;192;269
67,68,288;69;10046;70
192,193,10047;196;195;194
271,270,289;290
77,76,291;10048;10049;78;79;1539
73,72,3004;1658;3005;3006;292;3000;3001;3002;3003;75
218,219,222
0,0,220;219
0,220,223;225;224
223,0,
224,0,
225,0,
228,229,10042;666;667;618;616
228,230,622;623;620
231,232,627;395;624;630;628;632
236,235,254;256;257;253;251
251,252,275;273;277;276
255,254,278
274,273,
0,276,293;294
279,278,295;296;213
0,0,279;281
280,281,297;298;299
239,238,263;261;264
241,240,266;265
242,240,267
0,237,258;259;260
262,261,282;46;284
283,282,302;303
285,284,
0,303,
304,305,306;226
306,307,308;310
308,309,
310,0,
328,0,332;331;329
329,330,334;333
331,0,
0,332,
334,335,340;339;338;234
334,336,343;342;345;344
338,337,1;408;141;249;402;400;244;401
340,341,1307;747;751;750;1309;749;748;754;752;348
346,345,352;353;354;355
748,0,755
0,750,756
753,752,758;759;757
759,0,
348,349,359;360
348,350,361;362;363
351,350,364
356,355,373;375;370;377;376
365,366,
176,369,378
147,369,381;380;379;30
347,345,357;358;134
371,370,
372,370,383;384;382
374,373,386;385;10003
133,134,137;653;136;652;139;138;140;135
106,139,
390,389,393;398;337;396
387,10004,389;388
0,0,391;390
403,141,440
404,141,441
247,141,143
405,141,101
406,141,53
407,141,443
143,442,482
143,156,1422;483;1421
143,142,144;10005;145;10006
101,102,205;104;105
53,52,63
1,2,1150;1149;3;1148;4;1147;5;1146;6;148;183
409,410,444;446;447;10007;448
445,444,
446,0,
448,0,
683,684,687
683,685,690;691;688;689
683,686,
0,392,411;414;412;413
415,411,51
416,411,87;455;454;451
432,689,694;692;693
51,449,485;484;487;486
450,87,489;488
86,87,490;88;90
393,394,1086;417;419
417,418,463;462;461;459;457
452,451,493;492;491
453,454,495;494;496;497
455,456,498
458,457,500;501;502;499
459,460,
461,0,
613,396,427;429;428;421;420;423
421,422,464;465;15
424,423,468;466;467
425,423,
426,423,469
465,0,
15,14,17;16
0,466,
397,398,33;206;115;434;436;437
429,430,199
431,33,34;472;470;471
432,33,473
0,0,
433,206,474;475
211,206,476;207;477;208;209
180,34,10008
474,172,817;174;173
399,398,439
403,0,
435,434,
115,116,118;1373;124;122
438,437,478;479;55;481
54,55,64;65
480,479,504;505
506,507,508;415
415,509,512;513;430
510,430,514;198
0,0,510;511
0,513,515
189,199,74
198,197,
1,197,200
825,826,577;839;524;407
10011,10012,826
407,1022,927;1075;1073;722;1057
407,1021,1066;1067;649;1070;1071;1069;1072
577,576,592;50;49;595;597;596;54;52;125;591
0,517,518;335;520
518,519,702;703;701;698;696;705
521,520,523
388,520,532;529;531;525;526;527;522
523,524,535;655;534;654;656;537;657
406,656,661
348,657,664;665;662
663,662,
211,527,540;539
528,527,541
529,530,544;543;542
535,536,550;551
537,538,554;552;553
0,541,
0,542,
533,532,548;549;547;545;660;659
801,522,1445;1446
0,522,1447
546,545,556;555
