FatherId,MotherId,Children
2712,1351,
0,0,1351;521
5500,521,2792;5411;3544
3491,521,4641
2522,521,1951
3401,5411,
2522,5411,5612;5613;2584;1863
4631,5411,5501;4921
711,5411,
2985,5411,
3481,5411,
4631,5502,
5503,5502,5504;801;3481
3481,3951,
3481,2872,
3481,4701,5506;5505;3831;3252;4632
1131,3831,5507;5508;5509
2362,3951,
3693,4701,
2523,4701,
2382,2792,
4681,2792,4701
3251,2792,
4681,73,4241
4681,1911,3251;4171
2985,1911,
2985,4341,
2985,801,5510
2985,3883,
5511,3883,
105,4171,3884;2202;3899;1352;5512;4682;31;4702;4011
851,4171,
4682,121,532;5514;4551
1701,121,1561
1291,1352,5515
372,1352,5516
731,1352,413;5517
5211,3884,101
2523,3884,4683;5518
2202,4131,5525
4702,3813,5527
106,5519,5523;5351;5251;2985;5511
5524,5523,
0,0,5520;106
5520,5521,371
371,1651,3897;1463
1463,1061,
3783,3897,372
5529,5528,2203;732;1054
5529,5530,3601
732,3281,4771
732,3004,2282
3601,3004,304;961
0,0,653;3281;2361
2833,3281,3543;5141
3681,5141,4402;2832;2362;5311
4771,4062,1131
4771,1111,
3612,2282,1551;654;5676
1054,5531,4301;2986
1054,5532,4351
2203,4461,4013;105
4661,4012,5538;3003;4461
3491,4461,
3003,4842,1722;73
5538,4031,1711
2362,1711,5629;5631;5630
2204,1711,1122
1122,5539,2823
2051,4013,3211;5383;3321
2101,4013,
2883,4013,4841;2001
0,0,3451;4122;1811
1401,3451,4121;1281;3823
5161,4121,
1055,4121,1411;5536;5537;1353;5535;5534;5533
1055,3782,
1055,143,3812
1401,3702,2204
1881,3702,702;2981;4341
1881,1811,2681
105,4341,1055
4511,4341,5101
1701,4341,
5351,4341,
5351,705,4131
0,0,
3353,2282,211
961,923,92;4772
4772,5142,
1054,1062,2051;4741;4381
4741,4101,4901;4861;2451;1571;811
2051,653,923;3895
5540,3895,
3641,3895,1354;4001;2251
911,3895,
911,3181,2151;611;1141
911,703,3972
5311,1141,5543;5544
5541,1141,3692;5542
4981,611,3182;1613;1713;1466;5654;1983;5655;361
2151,1271,701
2151,3896,5546;5547
1601,4001,3642;4202
3823,1354,
2523,1354,2821;3896;4512;704;5548;5549;132
2251,2952,4002;501;1421
2251,142,3613;5553;3643;5640;2987;5550
4251,142,5163;3322
372,2952,
5555,0,
4511,653,3612
4511,5659,3893
901,1351,2751;2252;3151;3641
2252,4201,
2986,4201,71;2612;5637;1601;5639;5638
3151,3971,703;1271;3352;3782;1771;902;2872
1761,703,
412,2751,3081;201
3081,3881,4133;3894;861;2601
851,201,
851,923,
851,3001,
0,0,5556;901
5556,5557,851;1051;81
5560,81,2793;3021
2883,3021,411;3824;1053;82
5558,5559,3783;1462
0,0,2781;5561;5562
2703,2781,1431;2102;3401;1061
1431,4601,2302;2882;1702;5161;2952;2483;2704
5161,922,102;4401;5572;5570;5571;5568;5569;5567
1702,651,5617;5619;5618;111;4685
2704,921,5573
2302,3898,5574
0,0,2491;5563;104
0,0,2301;5565;5564
2301,2491,
1701,2491,3885;4601;5566
1701,3651,
1701,3571,
0,0,
3151,3571,
5575,706,3971
2363,2872,5381
902,1812,2871;5585;5584;1981;3351
5583,3782,5582
3824,1771,5579
1121,1771,5578;5576;5577
1401,2291,
0,0,1401;5580
5580,5581,2382
2382,1111,
2382,5143,
2382,5620,
5587,5143,2831;4462
303,5588,5162
5162,4172,4132;5596;5595;1862;5594;61;5593;2351
5162,3901,
5589,1062,1701;4101;3282;4172;3121;1861
602,3901,
2351,3901,
602,4101,
103,5604,2989;5605;5606;4982;5341;5221
5606,741,3751;3491;141;4252;1952;5051;3283;1651;131
0,0,2822;4801;741
4252,5607,
5610,3283,5611
3491,1813,
3491,5608,
3491,4201,
3491,4132,1291;4251;3541;1371;4951;5603;2791
5597,4132,3891
1291,1551,2002;221;4253;5616;3898;3311;5615;4061
4951,3921,3005;5600;5601;5165;5602;5599;2585
3541,1611,5621;4081
1053,2791,5592
1053,0,
4684,4641,
2833,4641,
4351,4641,651
5382,2584,3900;5662;531;2711;5664
1863,4131,
1951,2001,261;5614;3545
0,0,2281;2411
2411,652,3693;2651;4742;4684;5201
5201,3001,62
1462,5141,922
1951,5141,
2832,2581,3691;5628;301;5142
2832,4472,3542;4403;4432
2832,4641,
2362,1712,
1462,1612,3811;511;4981;143;1982;72
3543,511,1511;1464
1464,5642,5641
3543,211,
3543,4841,2881
3543,71,2983
2611,4462,3571;5627;4201;5626
3081,71,
861,4202,3882;1602;5703
1601,82,5636;2982;5635
4351,2651,2381
4351,3951,
4351,3811,142
4351,61,1052
3561,1811,3001
3823,72,5645;5644;1611;1251;5643;3813;601;1465;2551;4203
3823,5301,5648
2551,1814,5647;5646
3693,143,271
3211,143,2052;2211
3211,1281,461;5649;5650
2481,1281,2201;1056;302
1291,1281,
302,2951,5652;5653;5651
2681,1982,1467;1812
2681,3893,
1471,3001,
304,3001,2581;3201;731;1814;4581;3921;1721
4241,3001,75
5201,611,
5657,5658,305;652;351
2411,3893,5211
351,3893,
