FatherId,MotherId,Children
1,2,8
1,3,19;4;11;15
4,5,22;27
4,6,24;28
4,7,32;29;30
8,9,38;37
8,10,39;40
11,12,34;33;31
11,13,35
11,14,46
15,16,47
15,17,48
15,18,49
19,20,51;50;36;52
19,21,
22,23,42;43;41
24,25,44
24,26,45
53,54,59
55,56,71
55,57,76;77;78
55,58,87;88
59,60,66
61,62,73
61,63,79
64,65,68
66,67,84;81;80;83;82
68,69,91;90
68,70,
71,72,85;86
73,74,89
73,75,
92,93,96
92,94,102;108;104
92,95,106
96,97,110
96,98,111
96,99,112
96,100,119;118;113
96,101,120
102,103,114;122;121
104,105,123
106,107,117;116;115
108,109,124
125,128,137
125,129,138;146
125,126,136;130;132
125,127,134
147,148,152;156
147,149,154
147,150,160
156,157,172
156,159,177
164,165,183
164,167,197;198
174,176,196;195;194
179,181,201;203;202
204,205,206;208;210
206,207,212
208,209,221;216;219
210,211,223;226
212,213,229
212,214,236;233;231
212,215,238;237;235;234;1248;244
216,217,246;245
216,218,248;247
219,220,
221,222,250;249
223,224,239;252;253;251
223,225,
226,227,254;240
226,228,255
229,230,241
231,232,242;243
260,261,278;277
263,265,287;286
266,268,
210,257,263;269
269,271,289;290
204,291,293;299
293,295,318
296,298,306
299,0,302
303,305,329
312,314,333
315,317,338
315,316,337;336;330
0,302,315
293,294,312
312,313,327;332;331;328
318,319,334;335
296,297,303
303,304,320;321
306,307,322
204,292,300
300,301,308;310
308,309,324;323
310,311,326;325
339,341,354
1513,0,342;344
348,350,369
348,351,373;370
354,356,386;385;384;377
387,389,399
399,400,413;419
342,343,357
357,358,378
344,345,364;365
365,366,379
339,340,352;348
348,349,359;368;367
359,360,381;380
352,353,372;371;361
361,362,383;382
354,355,375;374;376
346,347,363
387,388,394
394,395,407
407,408,443;444;436
413,414,445;446
390,391,396
396,397,409
409,410,429;437
396,398,411
411,412,431;430;432;433
390,392,401
401,402,415
415,416,438;439
415,417,440
415,418,447;450;449;448
401,403,420
420,421,451
420,422,452
390,393,404
404,405,425;427;423
423,424,454;453
425,426,456;455
427,428,458;457
404,406,441;442;459;434;435
460,461,469
469,470,487;486
466,467,479;481
481,482,493;494
462,463,471;483
471,472,489;488
464,465,478
479,480,492;491
483,484,495;496;497
473,474,500;501;502;503;499
473,475,504
0,0,476;473
476,477,505;506;507;490
483,485,498
508,509,513
513,514,524;522
522,523,533
524,525,534
508,510,515
515,516,526;527
508,511,517
517,518,528;530
508,512,520
517,519,532;535;531;537;536
520,521,529
538,539,540;543
540,541,546;552;553
543,544,548;549;547;556
543,545,550;551;558;557
540,542,554;555
559,560,562
562,563,573;572
562,564,574
559,561,565;569
565,566,579;580;575
565,567,576;581
565,568,582;583
569,570,577;578;584;586;587
569,571,585;588
589,590,593
593,594,599;602
599,600,627;626;615;613;628;617
613,614,645;644
615,616,647;646
617,618,649;648
599,601,630;629
602,603,631;619;632
619,620,652;651;650
602,604,639;623;621
621,622,653;655;654
602,605,
602,606,656;657
591,592,597
597,598,611;625
611,612,641;640
0,0,595;591
595,596,609;607
607,608,635;634;633;636
609,610,638;637;643;642
623,624,
593,660,678
678,679,703;698;704
593,661,683;680
680,681,705
680,682,707;706
683,684,709;708;710
589,658,662
662,663,669
669,670,689
589,659,664;666
664,665,671
671,672,699;690;691;711
666,667,674
674,675,694;693
674,676,701;695
674,677,702;712;696;697
666,668,687;685
685,686,713;714
687,688,715;717;716
671,673,700;692
718,719,733;722;724
722,723,738
738,739,758;759
724,725,740
740,741,760;761
733,734,747
733,735,752
1506,0,729;718
720,721,736;742
736,737,753
726,727,745;744;749;748;743
726,728,754;755
729,730,746
729,731,751;750
729,732,756;757
762,763,772;766;770;768
766,767,776
768,769,778;777
770,771,779
762,764,773
762,765,774;775
780,781,783;798;792
783,784,795
783,785,807;810
795,796,812;811
795,797,813
783,786,814
780,782,790;787
792,793,816;815
792,794,817;818
798,799,820;819
798,800,
787,788,801
801,802,821;822
787,789,803;808
803,804,823;824
790,791,805;809
805,806,825;827;826
780,828,834;836;837;829;831
829,830,849;848;844
844,845,864;863;862
831,832,851;850
831,833,
834,835,846
846,847,865;866
837,838,854;853;852
837,839,867;855;859;860
0,836,842
842,843,868;861
840,841,858;856
856,857,869
870,0,871;874;876
871,872,878
878,879,888;891
878,880,889;890
871,873,881
881,882,894
881,883,895;896
874,875,886
886,887,899;898;897
877,876,884
884,885,901;900;893;892
902,903,908;906
906,907,935;934;917
917,918,941;942
908,909,919
919,920,943;944
908,910,936
902,904,911;914
911,912,923;921
921,922,945
923,924,946
911,913,937
914,915,925;938;928
925,926,948;949;947
925,927,950
928,929,952;951
914,916,939;932;930
930,931,953
