FatherId,MotherId,Children
1,2,6;42
3,2,47;44;45
3,4,55;53;52;57
5,6,7
7,8,16;10;11;13;15
9,10,19;21;22;25;24;26
18,19,252;250;251;248;249;247
20,21,27;29;28;30
22,23,32;31
11,12,34;35;33;36
11,63,
94,33,
14,15,38;37
16,17,39;40;41
42,43,69;71;67;60
60,58,86;89
60,59,93;95;94;91
60,61,
60,62,98;96
60,63,102;103;101;99
81,86,153;154;155;156;157
87,88,117;116;115;114;113;112
89,90,119;118;120
91,92,122;121
97,98,268
100,99,159;162;161;160
100,101,166
81,101,158
64,65,232;231;163
66,65,236;235
66,68,
67,68,
71,70,
71,72,105
71,73,106;107
104,105,148;149
74,76,108;109
79,0,110;111
81,82,17;147
81,83,152;92;104;150;90;151
45,46,76;77;78;75
52,49,65;59;62
48,49,9
50,51,175;176;182;180;181
53,54,80;79
56,57,85;84;83;82
123,124,133
133,134,68
177,154,
179,154,201
100,142,165
146,142,164
143,142,
163,164,
144,145,70;261
136,135,100;81
137,138,145
139,138,146
126,125,136;139;140
126,127,168
129,130,141
131,132,258;144
168,167,174
168,72,178;177
174,175,196;73;195;194
174,180,197;198
176,178,200;199
172,72,179
169,61,187;184
170,171,190;191;189
56,173,193
192,193,209;210
184,190,205;206
188,189,
186,187,207
207,208,
184,185,204;203;202
184,183,
0,0,
211,212,219
213,214,254
216,215,66;227;226
216,217,18
218,217,228
219,220,229
221,222,233;23
233,234,240
230,231,239;238;237
66,224,234
225,226,246;245;12
246,180,244;242;243;241
253,254,260
261,262,
264,262,
255,256,20
257,258,263;97;264;88
259,263,266;267
184,263,
259,258,265
270,271,51;49
272,273,170;169;72
274,275,223;64
276,277,212;214;215;132
300,0,1
